date,article_number,quantity
2022-06-10,384,20
2022-05-27,267,16
2022-06-27,389,16
2022-03-03,220,16
2022-08-15,49,64
2022-03-21,66,16
2022-07-04,470,16
2022-04-04,117,32
2022-06-03,424,20
2022-04-08,186,32
2022-06-20,417,64
2022-07-18,389,16
2022-08-15,188,16
2022-05-27,169,32
2022-06-20,1,16
2022-04-19,253,64
2022-05-27,186,16
2022-02-28,383,32
2022-06-20,484,16
2022-06-20,274,16
2022-04-04,166,32
2022-05-23,316,32
2022-06-27,372,16
2022-06-27,77,32
2022-06-10,161,20
2022-04-19,394,128
2022-05-09,388,16
2022-07-04,89,16
2022-06-27,144,64
2022-03-28,105,32
2022-06-13,221,48
2022-06-17,387,16
2022-06-17,489,24
2022-05-06,269,32
2022-04-11,112,48
2022-08-12,379,32
2022-08-15,166,16
2022-06-24,476,128
2022-07-18,472,16
2022-06-24,468,32
2022-06-27,243,1
2022-03-14,401,64
2022-04-08,100,32
2022-06-03,193,64
2022-06-20,345,64
2022-05-23,136,16
2022-06-27,239,32
2022-03-21,158,16
2022-06-13,375,16
2022-04-11,141,80
2022-02-22,98,32
2022-05-27,171,60
2022-05-02,394,16
2022-05-27,350,16
2022-03-14,65,112
2022-06-24,321,40
2022-08-15,447,32
2022-07-08,109,20
2022-04-20,313,16
2022-06-27,262,32
2022-08-05,448,60
2022-04-11,81,80
2022-08-05,233,80
2022-04-25,207,32
2022-08-05,55,40
2022-05-16,114,16
2022-08-15,65,48
2022-06-27,279,64
2022-04-04,487,32
2022-08-12,186,48
2022-08-15,374,16
2022-03-17,98,16
2022-07-11,260,128
2022-05-23,79,64
2022-07-22,215,20
2022-05-13,98,16
2022-06-20,81,16
2022-05-16,274,32
2022-05-02,40,96
2022-05-23,59,64
2022-06-07,298,95
2022-04-22,29,64
2022-02-25,53,48
2022-07-15,474,20
2022-04-01,353,16
2022-05-27,467,60
2022-07-08,252,48
2022-06-07,62,80
2022-06-03,321,80
2022-06-27,260,128
2022-06-03,339,80
2022-05-06,133,32
2022-06-10,424,20
2022-05-13,98,16
2022-06-27,77,32
2022-06-03,438,16
2022-05-27,98,16
2022-05-30,39,16
2022-03-14,145,64
2022-06-17,456,16
2022-06-10,162,32
2022-06-13,207,32
2022-06-20,120,16
2022-04-15,338,16
2022-06-03,153,61
2022-05-16,270,48
2022-04-20,313,16
2022-03-14,117,32
2022-03-14,228,96
2022-06-13,120,16
2022-05-30,240,16
2022-05-30,253,16
2022-04-08,420,32
2022-04-11,152,48
2022-06-27,221,32
2022-07-18,64,16
2022-04-25,49,160
2022-08-15,250,8
2022-03-17,350,16
2022-07-04,356,16
2022-06-27,286,1
2022-04-22,468,64
2022-03-21,305,32
2022-06-24,233,80
2022-07-01,362,16
2022-07-11,231,32
2022-07-11,358,32
2022-06-03,351,21
2022-06-20,490,16
2022-07-29,146,20
2022-03-25,98,8
2022-02-25,382,56
2022-08-12,130,16
2022-03-14,105,32
2022-07-25,61,48
2022-07-01,98,16
2022-04-11,316,32
2022-08-08,91,64
2022-08-15,421,48
2022-04-19,65,64
2022-07-08,98,16
2022-06-24,209,16
2022-04-08,378,16
2022-07-11,283,32
2022-06-03,443,20
2022-04-20,345,32
2022-02-16,241,48
2022-05-27,398,128
2022-03-23,91,16
2022-02-21,18,176
2022-07-08,139,16
2022-08-15,143,16
2022-07-08,57,32
2022-07-04,152,16
2022-04-04,345,112
2022-04-25,414,32
2022-07-25,33,32
2022-06-24,98,16
2022-05-30,155,1
2022-07-04,136,16
2022-06-03,215,60
2022-04-11,64,48
2022-07-01,268,32
2022-08-12,113,32
2022-03-14,331,32
2022-06-24,327,20
2022-05-20,15,32
2022-07-04,35,94
2022-06-27,369,16
2022-03-07,421,64
2022-07-04,70,16
2022-07-01,247,48
2022-04-04,185,32
2022-07-22,34,60
2022-06-20,64,16
2022-05-09,368,32
2022-06-07,176,128
2022-08-15,89,48
2022-05-16,437,96
2022-05-23,278,128
2022-04-11,354,112
2022-02-23,326,32
2022-04-19,147,16
2022-06-13,410,16
2022-07-11,396,32
2022-03-21,489,32
2022-08-15,419,128
2022-03-07,143,32
2022-08-15,2,1
2022-05-30,83,32
2022-05-02,278,96
2022-07-18,91,64
2022-05-09,278,128
2022-07-18,136,16
2022-05-13,98,16
2022-04-22,405,48
2022-08-15,324,16
2022-04-25,226,48
2022-06-10,191,16
2022-07-25,431,96
2022-06-27,185,48
2022-07-01,9,16
