date,revenue
2022-12-30,1144416.0
2023-01-02,1495136.0
2023-01-03,1432304.0
2023-01-04,1341584.0
2023-01-05,1292736.0
2023-01-06,1223328.0
2023-01-09,1162560.0
2023-01-10,1253952.0
2023-01-11,1134768.0
2023-01-12,1128192.0
2023-01-13,1142656.0
2023-01-16,1517136.0
2023-01-17,1459344.0
2023-01-18,1276864.0
2023-01-19,1194272.0
2023-01-20,1132224.0
2023-01-23,1536304.0
2023-01-24,1513904.0
2023-01-25,1315792.0
2023-01-26,1196832.0
2023-01-27,1166480.0
2023-01-30,1335536.0
2023-01-31,1222112.0
2023-02-01,1165136.0
2023-02-02,1109984.0
2023-02-03,1386144.0
2023-02-06,1402496.0
2023-02-07,1229616.0
2023-02-08,1099504.0
2023-02-09,1098928.0
2023-02-10,1164832.0
2023-02-13,1442576.0
2023-02-14,1359120.0
2023-02-15,1211568.0
