article_number,component_number,start_date,end_date,quantity
119,572,2020-10-22 00:00:00.000000000,1970-01-01 00:00:00.029991231,1
243,737,2021-02-09 00:00:00.000000000,1970-01-01 00:00:00.029991231,1
245,500,2020-10-12 00:00:00.000000000,1970-01-01 00:00:00.029991231,2
418,466,2021-03-17 00:00:00.000000000,1970-01-01 00:00:00.029991231,1
480,458,2021-12-17 00:00:00.000000000,1970-01-01 00:00:00.029991231,1
